Name,Email,Location,Source
"Email: elphr@elp-in.comCareers: https://elplaw.in/careers/Offices: Mumbai, Delhi, Pune, Bengaluru, Ahmedabad","elphr@elp-in.com","","paragraph"
"2","recruitment@sarafpartners.com","","paragraph"
"3","careers@azbpartners.com","","paragraph"
"4","recruitment@samvadpartners.com","","paragraph"
"5","careers@argus-p.com","","paragraph"
"6","careers@trilegal.com","","paragraph"
"8","recruitment@luthra.com","","paragraph"
"9","hr.india@dentons.com","","paragraph"
"10","internship@cms-induslaw.com","","paragraph"
"10","careers@cms-induslaw.com","","paragraph"
"12","hr@juriscorp.in","","paragraph"
"13","careers@wadiaghandy.com","","paragraph"
"14","hr@phoenixlegal.in","","paragraph"
"15","careers@jsalaw.com","","paragraph"
"17","hr@khaitanco.com","","paragraph"
"20","careers@amsshardul.com","","paragraph"
"22","hr@kochhar.com","","paragraph"
"Dua Associates","dua.hr@duaassociates.com","","pattern_match"
"Ahlawat & Associates","careers@ahlawatassociates.in","","pattern_match"
"Hammurabi & Solomon Partners","hrcom1@hammurabisolomon.com","","pattern_match"
"Singhania & Partners","hr@singhania.in","","pattern_match"
"AQUILAW","internships@aquilaw.com","","pattern_match"
"Spice Route Legal","talent@spiceroutelegal.com","","pattern_match"
"Vertices Partners","connect@verticespartners.com","","pattern_match"
"BTG Legal","hr@btgadvaya.com","","pattern_match"
"IndiaLaw LLP","hr@indialawoffices.com","","pattern_match"
"Vritti Law Partners","contactus@vritti.law","","pattern_match"
"AKS Partners","careers@akspartners.in","","pattern_match"
"Mulla & Mulla and Craigie Blunt & Caroe","careers@mullas.net","","pattern_match"
"Clasis Law","info@clasislaw.com","","pattern_match"
