Email: elphr@elp-in.comCareers: https://elplaw.in/careers/Offices: Mumbai, Delhi, Pune, Bengaluru, Ahmedabad, elphr@elp-in.com
2, recruitment@sarafpartners.com
3, careers@azbpartners.com
4, recruitment@samvadpartners.com
5, careers@argus-p.com
6, careers@trilegal.com
8, recruitment@luthra.com
9, hr.india@dentons.com
10, internship@cms-induslaw.com
10, careers@cms-induslaw.com
12, hr@juriscorp.in
13, careers@wadiaghandy.com
14, hr@phoenixlegal.in
15, careers@jsalaw.com
17, hr@khaitanco.com
20, careers@amsshardul.com
22, hr@kochhar.com
Dua Associates, dua.hr@duaassociates.com
Ahlawat & Associates, careers@ahlawatassociates.in
Hammurabi & Solomon Partners, hrcom1@hammurabisolomon.com
Singhania & Partners, hr@singhania.in
AQUILAW, internships@aquilaw.com
Spice Route Legal, talent@spiceroutelegal.com
Vertices Partners, connect@verticespartners.com
BTG Legal, hr@btgadvaya.com
IndiaLaw LLP, hr@indialawoffices.com
Vritti Law Partners, contactus@vritti.law
AKS Partners, careers@akspartners.in
Mulla & Mulla and Craigie Blunt & Caroe, careers@mullas.net
Clasis Law, info@clasislaw.com
